"x","y","z"
-23.8231620788574,-12.2709169387817,-28.9370441436768
-23.5093402862549,-9.46982860565186,-30.5580768585205
-25.8266410827637,-12.9938163757324,-28.4908428192139
-27.4725036621094,-11.580207824707,-28.308349609375
-31.4802017211914,-13.293140411377,-25.6901187896729
-31.2648162841797,-11.5276727676392,-26.1410331726074
-35.2126350402832,-12.0034227371216,-21.3672847747803
-34.4158668518066,-14.0463724136353,-23.396692276001
-33.6375579833984,-10.619047164917,-24.3113079071045
-34.0258674621582,-10.4537496566772,-21.0487117767334
-32.1142501831055,-8.61146354675293,-23.1250419616699
-30.353910446167,-8.54752063751221,-20.0478420257568
-32.1365661621094,-11.6456384658813,-17.0187549591064
-28.655647277832,-9.464768409729,-19.116735458374
-28.626091003418,-10.6052131652832,-17.1233863830566
-24.7670421600342,-9.88089656829834,-19.614767074585
-23.3582439422607,-11.2656230926514,-18.1376819610596
-23.7723407745361,-13.0970048904419,-17.0109233856201
-27.0960636138916,-13.6551351547241,-14.7884092330933
-21.1347007751465,-13.3625478744507,-16.6117153167725
-21.713508605957,-13.1523532867432,-13.1135511398315
-22.2238101959229,-16.7593612670898,-12.7344169616699
-21.5099792480469,-14.2118606567383,-12.7941913604736
-20.2531108856201,-18.3228225708008,-13.6055688858032
-18.7216091156006,-19.467945098877,-17.440803527832
-17.9744567871094,-18.2109813690186,-15.838282585144
-17.130916595459,-17.0016174316406,-19.5825805664062
-21.5054988861084,-15.8599090576172,-21.614465713501
-19.1226348876953,-18.7929992675781,-19.6056060791016
-16.8292789459229,-14.6162900924683,-21.4977684020996
-21.5500602722168,-13.9222040176392,-21.9240646362305
-21.8412227630615,-14.3818521499634,-24.418083190918
-21.3170433044434,-12.0540685653687,-23.1050128936768
-19.7699699401855,-11.3762435913086,-25.6245422363281
-20.0617027282715,-7.84487009048462,-27.394552230835
-19.9637184143066,-6.80474281311035,-26.2280158996582
-22.2204704284668,-7.60696601867676,-26.6638298034668
-19.0900802612305,-6.57143783569336,-24.4397563934326
-21.9201507568359,-8.27542304992676,-24.3113384246826
-25.0500717163086,-8.27245712280273,-26.1132774353027
-28.2123889923096,-8.41292381286621,-24.6081466674805
-28.5333843231201,-7.59271192550659,-26.1130771636963
-26.2032737731934,-7.59942388534546,-29.2793655395508
-28.8856601715088,-7.93714380264282,-27.1999607086182
-29.9052047729492,-8.78336143493652,-26.3923168182373
-23.761754989624,-7.88286781311035,-30.1610469818115
-26.1319446563721,-18.4438705444336,-23.9288234710693
-28.3810882568359,-16.2087879180908,-25.2149448394775
-29.7555122375488,-18.3852920532227,-24.0175819396973
-29.9180469512939,-20.9971809387207,-21.3814086914062
-32.6667366027832,-17.1463146209717,-23.1461048126221
-36.2300148010254,-14.54918384552,-21.4920787811279
-32.5275421142578,-15.231315612793,-23.7415199279785
-36.5598945617676,-15.3405876159668,-19.2668418884277
-35.2549629211426,-11.8592929840088,-19.280445098877
-34.750675201416,-13.6310043334961,-17.6301345825195
-31.1363468170166,-12.9000625610352,-15.7173767089844
-21.4820289611816,-9.54437255859375,-29.0419826507568
-23.4229640960693,-16.8129901885986,-24.099796295166
-21.2763385772705,-11.838173866272,-27.4196300506592
-24.8958129882812,-17.6445159912109,-23.8944568634033
-17.5845909118652,-8.47308158874512,-24.9868717193604
-22.7447090148926,-18.0321788787842,-21.2043781280518
-21.2762641906738,-20.3363666534424,-15.1604633331299
-24.4425716400146,-19.0178661346436,-13.6528835296631
-24.2394027709961,-20.1436939239502,-14.6258411407471
-24.0045127868652,-18.033166885376,-15.0289211273193
-26.5876178741455,-17.6251888275146,-14.75501537323
-25.1968765258789,-19.0092601776123,-12.8765850067139
-28.0302028656006,-16.9901523590088,-13.5101470947266
-26.0891780853271,-17.0858459472656,-12.0886573791504
-27.2131328582764,-15.5414180755615,-13.3381643295288
-24.4937992095947,-14.0117120742798,-12.8152961730957
-15.2713193893433,-10.0083799362183,-21.7936573028564
-16.9063739776611,-11.5295543670654,-21.8438301086426
-14.0775260925293,-11.8592491149902,-21.3715839385986
-15.3840627670288,-14.3726940155029,-21.2721061706543
-14.3135709762573,-12.8496723175049,-19.1894626617432
-12.4501810073853,-9.61835193634033,-19.9380855560303
-17.7291297912598,-9.68447399139404,-17.5871810913086
-17.464017868042,-9.07321834564209,-21.3498401641846
-18.5130920410156,-9.70271587371826,-19.4664936065674
-20.0132999420166,-8.352858543396,-22.0623474121094
-22.4965629577637,-8.65414237976074,-21.0364894866943
-18.3133449554443,-6.8792839050293,-25.3803615570068
-17.8385238647461,-9.91548156738281,-23.5623073577881
-17.2669639587402,-7.48826313018799,-23.6033554077148
-18.9174957275391,-10.9125967025757,-22.8526554107666
-25.6042022705078,-8.81681728363037,-23.0240821838379
-20.6829986572266,-11.2602424621582,-17.7610549926758
-19.3297443389893,-11.8874959945679,-16.7363605499268
-19.3019599914551,-9.90320205688477,-15.3153505325317
-19.2838706970215,-10.32190990448,-13.9085626602173
-21.4654998779297,-12.4608955383301,-13.9918928146362
-18.0720386505127,-11.6713495254517,-13.9527721405029
-17.696102142334,-14.2165536880493,-15.510983467102
-30.7574253082275,-20.739221572876,-18.8558235168457
-33.8914413452148,-20.1057662963867,-18.8306884765625
-30.5719108581543,-18.2234973907471,-16.1335334777832
-35.1305198669434,-17.1847553253174,-15.4871168136597
-32.0547485351562,-15.0900049209595,-13.7169923782349
-33.2165184020996,-20.3602848052979,-20.1067523956299
-27.0630550384521,-22.5091724395752,-19.9443950653076
-23.9744815826416,-20.8403339385986,-20.2297382354736
-23.4382629394531,-20.6125049591064,-18.0987854003906
-35.756908416748,-17.9801445007324,-20.4787311553955
-36.7667083740234,-18.3837184906006,-18.8444213867188
-18.0898761749268,-13.0715494155884,-22.557409286499
-25.0266304016113,-21.989107131958,-18.4706001281738
-15.5783710479736,-15.0079517364502,-19.6300563812256
-12.4031114578247,-11.093879699707,-19.5919456481934
-14.6982555389404,-10.4601202011108,-15.781192779541
-17.4403400421143,-9.78043365478516,-14.4061641693115
-18.8803329467773,-10.9892292022705,-18.262866973877
-27.1927242279053,-22.3242607116699,-18.6598720550537
-26.4310398101807,-19.8520393371582,-17.0785617828369
-26.3936309814453,-18.1741428375244,-15.7035331726074
-36.0274810791016,-16.6043643951416,-16.0024929046631
-32.1265487670898,-17.0658512115479,-13.9054822921753
-36.3754081726074,-18.3037853240967,-17.2978668212891
-28.008617401123,-24.5152378082275,-17.9494323730469
-29.8014755249023,-22.7896327972412,-19.5930080413818
-32.3999710083008,-25.6607837677002,-16.9101295471191
-30.1577301025391,-26.3350162506104,-17.1458873748779
-36.9038009643555,-26.1515979766846,-14.6898832321167
-35.5273895263672,-26.0652694702148,-15.9473667144775
-37.431941986084,-23.0337753295898,-15.3399925231934
-36.9685325622559,-22.8234100341797,-13.3867149353027
-36.8467483520508,-19.2529926300049,-14.3373584747314
-30.3941764831543,-17.7711277008057,-15.4525785446167
-35.4710388183594,-17.556547164917,-14.7853813171387
-35.8260078430176,-17.9697589874268,-16.5884075164795
-28.0156707763672,-21.3510112762451,-18.2951622009277
-24.6727676391602,-21.8314228057861,-16.5032196044922
-37.356761932373,-19.162410736084,-16.609619140625
-35.731990814209,-20.7211380004883,-19.0101089477539
-33.1472396850586,-21.1367282867432,-19.1150245666504
-34.8201446533203,-20.2881565093994,-18.9936714172363
-29.7614002227783,-22.0173816680908,-19.6304874420166
-31.5914344787598,-20.3454761505127,-18.904468536377
-34.1837615966797,-23.3514289855957,-17.539644241333
-26.4118785858154,-25.3373622894287,-17.093713760376
-28.5030746459961,-28.7833786010742,-14.8082447052002
-35.7624320983887,-31.9896240234375,-10.9145908355713
-35.5481147766113,-30.4321517944336,-12.495701789856
-37.2730407714844,-30.2706775665283,-10.2317953109741
-34.5246429443359,-28.9516639709473,-7.96100902557373
-33.7496910095215,-27.6824398040771,-8.24238777160645
-30.9088001251221,-29.287052154541,-8.26801300048828
-29.501636505127,-26.8436183929443,-10.3978824615479
-30.7289218902588,-25.8026866912842,-10.5980615615845
-29.2769470214844,-23.6252498626709,-11.8386745452881
-26.8562431335449,-25.5176162719727,-10.5362339019775
-27.4634952545166,-22.0744228363037,-13.1105899810791
-24.8181762695312,-23.6467437744141,-13.2634677886963
-26.0541725158691,-21.8984127044678,-13.7059135437012
-24.9717273712158,-19.7818908691406,-14.5758428573608
-26.3273029327393,-20.1690425872803,-16.137939453125
-26.3219108581543,-17.8856945037842,-15.3288068771362
-25.1502132415771,-19.0788631439209,-13.9037570953369
-30.0647468566895,-17.5882797241211,-13.2794513702393
-37.3378257751465,-28.291633605957,-11.2690181732178
-35.8458671569824,-28.0769596099854,-13.3796558380127
-24.6402683258057,-26.5238761901855,-14.3439645767212
-24.428897857666,-24.9904403686523,-14.0617113113403
-31.6337718963623,-29.5826759338379,-14.5538778305054
-25.4855289459229,-28.570333480835,-12.4419021606445
-24.7653980255127,-30.1574573516846,-11.5309314727783
-25.3381118774414,-27.2680053710938,-10.8943691253662
-24.3692092895508,-30.9871959686279,-8.60060882568359
-23.9882469177246,-32.0206031799316,-9.36098766326904
-24.0667304992676,-32.7153778076172,-5.87673091888428
-23.7249622344971,-34.2862586975098,-6.4327278137207
-27.3836498260498,-32.5399322509766,-4.33467578887939
-29.7981491088867,-31.1938133239746,-5.93245506286621
-27.3669528961182,-30.9905376434326,-5.50747489929199
-32.3548583984375,-31.0490436553955,-6.47193622589111
-36.6278533935547,-30.813648223877,-7.3602352142334
-36.0392951965332,-32.5081748962402,-8.36257362365723
-34.102954864502,-32.9852676391602,-9.58654022216797
-26.4424724578857,-27.8605728149414,-14.5069875717163
-26.4354362487793,-33.5587463378906,-4.02919816970825
-23.9670467376709,-17.9715194702148,-15.0360622406006
-26.0224628448486,-20.2165794372559,-12.8286094665527
-27.5650749206543,-32.8331604003906,-12.0665054321289
-32.2317886352539,-30.9220390319824,-13.2470846176147
-30.2395191192627,-34.0007705688477,-11.6266441345215
-26.2352027893066,-30.2092056274414,-12.9548768997192
-26.6264553070068,-29.4903469085693,-8.20547676086426
-33.9062194824219,-17.8589267730713,-13.0903234481812
-29.0239772796631,-35.2494735717773,-8.37320423126221
-29.9845790863037,-33.3129920959473,-6.65902614593506
-27.8853206634521,-34.6559448242188,-6.22560405731201
-29.6542186737061,-19.5624485015869,-11.6636991500854
-37.2031326293945,-26.9719619750977,-10.1886224746704
-28.6005172729492,-35.3709678649902,-9.89625644683838
-32.1021308898926,-34.2005615234375,-9.62007427215576
-25.4739170074463,-35.9416847229004,-7.67140483856201
-33.8315200805664,-22.0553874969482,-11.3640203475952
-31.2902374267578,-21.7650718688965,-11.212423324585
-31.9105033874512,-23.6977462768555,-9.86235046386719
-33.2787742614746,-19.7292938232422,-11.7287492752075
-25.3198471069336,-33.4868583679199,-10.3037357330322
-34.8833999633789,-25.9494342803955,-9.37086391448975
-37.2052383422852,-30.9862689971924,-8.595383644104
-24.2073307037354,-34.7956008911133,-7.83442306518555
-30.461841583252,-36.5068969726562,-8.96371746063232
-33.4801559448242,-35.7113990783691,-7.49100494384766
-33.653434753418,-35.6122398376465,-5.228835105896
-34.1582450866699,-31.4105167388916,-6.62918901443481
-31.5605411529541,-32.8312454223633,-7.41945314407349
-32.3445129394531,-32.7295265197754,-5.81258821487427
-29.7477760314941,-35.6162528991699,-9.44933986663818
-32.4934959411621,-34.5565567016602,-8.89152908325195
-34.9205932617188,-34.0720634460449,-8.97879409790039
-34.3127517700195,-32.9551620483398,-9.16514110565186
-36.1571235656738,-33.2042350769043,-6.9232587814331
-35.5176429748535,-31.7950057983398,-6.48648977279663
-26.2501049041748,-37.5632057189941,-6.94638586044312
-29.8623504638672,-38.3853492736816,-6.01623678207397
-30.726432800293,-39.2075386047363,-3.19929599761963
-27.6730537414551,-40.3968200683594,-3.86209893226624
-26.281925201416,-40.8003540039062,-1.53066301345825
-26.4266948699951,-40.9172630310059,-0.0342120006680489
-17.8946876525879,-41.8689155578613,3.80177593231201
-17.6575813293457,-37.3305130004883,6.67277717590332
-17.603443145752,-40.8216857910156,1.26064896583557
-17.6454887390137,-37.0734443664551,2.64241695404053
-17.5714588165283,-35.3021621704102,-4.03497695922852
-17.9614887237549,-35.715202331543,-1.39872205257416
-19.0858402252197,-36.4548645019531,4.05539798736572
-21.5705718994141,-35.7541999816895,-0.857725977897644
-20.3380661010742,-34.1964721679688,-3.77145504951477
-24.3627681732178,-35.3044166564941,-1.97341799736023
-23.5368499755859,-33.8027725219727,-3.94069910049438
-31.0100250244141,-38.0663414001465,-4.75302505493164
-28.1679935455322,-33.4259490966797,-4.77339506149292
-30.644229888916,-33.1046257019043,-4.27636003494263
-30.2118453979492,-32.4150466918945,-5.96277618408203
-25.6869125366211,-35.6787757873535,-6.70240306854248
-27.706636428833,-34.6015472412109,-6.0743899345398
-23.6442928314209,-37.5055618286133,-5.87771606445312
-23.1137886047363,-39.5100860595703,-3.76775789260864
-31.2385349273682,-37.3528022766113,-3.30181694030762
-29.7403583526611,-35.9132041931152,-2.1300060749054
-22.5021781921387,-35.3251075744629,-6.72276020050049
-22.2684574127197,-33.5597038269043,-5.80705785751343
-19.5699443817139,-35.6104888916016,-5.56298494338989
-27.4000110626221,-33.6477851867676,-3.07668399810791
-33.2023048400879,-34.4036178588867,-4.90465307235718
-20.3393115997314,-38.3474540710449,-3.36028409004211
-18.091028213501,-38.0646743774414,-2.89885592460632
-25.7667560577393,-34.1907806396484,-4.44710397720337
-29.2383766174316,-39.0556564331055,0.249301001429558
-20.8621044158936,-41.9619216918945,-0.265673995018005
-22.7101802825928,-41.9288444519043,-0.626075029373169
-25.7563457489014,-39.4905433654785,2.91850709915161
-21.7139511108398,-36.1472702026367,3.10962700843811
-20.0374240875244,-39.0111694335938,6.68509483337402
-20.6487731933594,-35.7734794616699,5.78497791290283
-26.4193572998047,-35.4304008483887,-0.846852004528046
-23.8074226379395,-36.5676383972168,4.04122495651245
-20.5517692565918,-36.7178039550781,6.71979188919067
-27.7985668182373,-35.9164657592773,-0.168467998504639
-18.9264755249023,-42.1122360229492,2.79218888282776
-20.7272853851318,-42.0674629211426,2.27450895309448
-22.4109764099121,-42.5774154663086,1.47987294197083
-22.9819583892822,-40.5564804077148,4.78546476364136
-27.753604888916,-38.0810050964355,1.63693499565125
-22.567253112793,-38.5779037475586,5.93808221817017
-29.745906829834,-6.50634813308716,-20.0587368011475
-28.4306640625,-7.9258770942688,-18.8179321289062
-27.5513896942139,-8.0456953048706,-20.2197151184082
-30.3011722564697,-5.15636396408081,-20.6026439666748
-15.6982746124268,-6.32275676727295,-20.4778499603271
-17.5912342071533,-8.05306053161621,-20.2311668395996
-28.8318309783936,3.12119007110596,-17.9416408538818
-26.1090393066406,0.697012007236481,-17.0112800598145
-29.7839469909668,0.573969006538391,-18.4642868041992
-32.9050979614258,-4.10197591781616,-19.0231857299805
-30.0592708587646,-3.79012799263,-16.0954303741455
-26.8588809967041,-5.49295997619629,-13.8961896896362
-28.91845703125,-6.49885177612305,-17.0539169311523
-28.2768230438232,-3.81482791900635,-15.1007375717163
-24.4574680328369,-3.94093108177185,-11.9903812408447
-23.9362373352051,-5.72821283340454,-11.7062892913818
-20.3387603759766,-8.11044406890869,-13.9634199142456
-20.3583354949951,-6.95141315460205,-13.5363187789917
-16.9567928314209,-8.12258815765381,-16.3501720428467
-16.063648223877,-6.98421478271484,-16.5998401641846
-15.1704864501953,-6.02933597564697,-15.698616027832
-18.5683765411377,-0.2831189930439,-18.2832527160645
-19.3934955596924,2.35049700737,-20.6115283966064
-17.3564605712891,-0.300915002822876,-21.8485012054443
-19.4985523223877,1.78584396839142,-22.4719276428223
-25.8702011108398,2.85584497451782,-18.4460182189941
-23.7900161743164,0.473401010036469,-17.171199798584
-26.0877113342285,-0.923703014850616,-15.8410692214966
-29.4645881652832,-1.14871501922607,-17.1686954498291
-22.5588455200195,3.45244288444519,-20.8496322631836
-30.8251171112061,3.12842893600464,-22.0059375762939
-22.0519237518311,3.12649893760681,-22.0997562408447
-29.943000793457,3.53769207000732,-20.7206535339355
-30.9094848632812,2.96498107910156,-19.2766017913818
-31.527135848999,1.73069798946381,-20.3977355957031
-30.8970317840576,2.10097408294678,-22.3864116668701
-29.9027347564697,-1.71968305110931,-22.5011405944824
-17.3435192108154,-2.80626606941223,-22.4311294555664
-32.0116500854492,-3.07189106941223,-22.2643527984619
-16.0874576568604,-4.88087701797485,-20.721227645874
-30.9787540435791,0.0846299976110458,-21.4391937255859
-31.4558696746826,-1.51589095592499,-22.1094741821289
-33.4081840515137,-3.06945395469666,-20.5706882476807
-32.2944297790527,-2.37373995780945,-18.5082378387451
-31.4904880523682,-1.07956898212433,-21.2320709228516
-15.4626264572144,-0.990060985088348,-21.5513515472412
-32.8431053161621,-4.02793121337891,-21.1813774108887
-31.2711696624756,-5.89161777496338,-19.3560562133789
-14.7180862426758,-0.860947012901306,-20.39919090271
-16.9656753540039,-0.654078006744385,-16.1234703063965
-24.0952548980713,-1.28226900100708,-15.3296184539795
-22.8624935150146,-3.10632610321045,-13.3989152908325
-20.135929107666,0.674601972103119,-18.170015335083
-20.881799697876,-8.87750244140625,-15.4126291275024
-19.85329246521,-9.50764656066895,-17.8040180206299
-25.272253036499,-9.23382186889648,-16.0972671508789
-23.2063674926758,-7.44112300872803,-13.5554962158203
-18.9909687042236,-9.07235908508301,-19.1496105194092
-25.6147880554199,-9.46216773986816,-18.7036018371582
-15.779634475708,-8.07437038421631,-18.4922752380371
-14.2998151779175,-6.02436685562134,-18.7958393096924
-14.576057434082,-4.3681788444519,-19.6076679229736
-20.2209072113037,-0.139828994870186,-16.4152507781982
-23.1646366119385,3.04511189460754,-19.754077911377
-14.5646905899048,-4.53472805023193,-16.1448955535889
-14.792555809021,-2.08878397941589,-17.1478729248047
-15.9608535766602,-2.48109602928162,-15.3114786148071
-16.1837921142578,-4.78238391876221,-14.2324352264404
-21.0386486053467,-3.91481804847717,-10.9845113754272
-20.7320022583008,-4.89741611480713,-10.8452672958374
-18.5341396331787,-5.10568904876709,-12.5790529251099
-20.2618560791016,-6.06239700317383,-11.7661094665527
-18.5116405487061,-3.73108291625977,-13.1402721405029
-22.4231052398682,-4.9950270652771,-29.0724906921387
-21.6613082885742,-3.97322297096252,-29.9766864776611
-28.5277194976807,-4.21921300888062,-29.1002502441406
-26.7994728088379,-6.23924779891968,-27.584300994873
-17.1747875213623,-4.94435214996338,-20.7298603057861
-17.9277801513672,-2.8150908946991,-22.479772567749
-16.897159576416,-3.69606304168701,-22.6674365997314
-19.0546607971191,-7.10266494750977,-20.9717197418213
-16.3511581420898,-6.71426916122437,-21.0988330841064
-19.1005725860596,-6.77381086349487,-22.3209686279297
-26.2084407806396,-3.44019508361816,-30.4505996704102
-22.5785369873047,-2.55775189399719,-30.4058475494385
-26.1625366210938,-1.72189497947693,-30.1792144775391
-30.1808643341064,2.96271300315857,-22.6998405456543
-31.1306495666504,1.99523794651031,-23.1186828613281
-29.76513671875,3.3319890499115,-23.9227752685547
-30.4372234344482,-2.39460611343384,-28.0825309753418
-32.4599418640137,-1.94852197170258,-24.3662624359131
-31.9107112884521,-3.02397990226746,-26.4903736114502
-31.7733917236328,-4.74747800827026,-20.9200973510742
-33.4958534240723,-3.4852089881897,-23.341365814209
-32.0096588134766,-3.06267309188843,-22.2864608764648
-22.5950546264648,-6.64949703216553,-24.2459297180176
-22.1149120330811,-8.13418579101562,-21.0349941253662
-28.7694320678711,0.353915989398956,-25.4860496520996
-26.1846809387207,-0.130097001791,-27.8618621826172
-25.3658008575439,0.968236982822418,-27.0961456298828
-29.2241153717041,2.01352190971375,-25.4151268005371
-18.0533580780029,-1.75392198562622,-25.3244304656982
-21.3577251434326,-0.842350006103516,-28.8881340026855
-21.6041316986084,-0.0800179988145828,-26.3328189849854
-21.8844566345215,2.03959894180298,-26.4121532440186
-25.7161312103271,1.98848700523376,-27.0651721954346
-29.4616184234619,-5.68478107452393,-26.584114074707
-31.7857570648193,-3.99072098731995,-26.2185211181641
-32.264087677002,-6.1732120513916,-23.5647716522217
-31.7501564025879,-5.98146677017212,-21.3303813934326
-22.1206665039062,-6.32329797744751,-28.3850898742676
-27.8219547271729,-8.28185367584229,-21.1944217681885
-29.9163284301758,-6.58987283706665,-20.5458278656006
-19.5743160247803,-6.36096000671387,-20.4861621856689
-20.6698913574219,-4.77725791931152,-27.9106197357178
